mise_a_jour;onglet;colonne;format;signification;statut;Contraintes
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;UG;text;Entité référente sur le dossier (ex. UGVO, UGVA). Il s'agit de l'entité juridique qui assurera le paiement des factures;obligatoire;Nom conforme à celui déclaré dans le référentiel périmètre de gestion de libreSQE
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;perimetre_facturation;text;Rattachement à une unité de facturation, par exemple à un projet d'une entité référente (ex. UGVE-Pont Billon pour le suivi du captage de Pont Billon par l'UGVE);obligatoire;Nom conforme à celui déclaré dans le référentiel périmètres de gestion de libreSQE
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;code_sandre_station;text;Code SANDRE de la station s'il est connu;obligatoire;Code conforme au référentiel SANDRE importé sous libreSQE
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;code_interne_station;text;Code interne de la station si cette dernière ne dispose pas de codifications SANDRE;facultatif;Code conforme au référentiel des codes stations sous libreSQE. Nota : dès qu'un code interne provisoire est remplacé par un code SANDRE, le code provisoire ne peut plus être utilisé.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;nom_station;text;Libellé de la station. Si la station dispose d'un code SANDRE, alors ce champs sera remplacé par le libellé officiel de la station à l'import du fichier.;obligatoire;
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;commentaires;text;Commentaires sur la mise en œuvre du suivi sur cette station de mesure.;facultatif;
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programme_annuel;type_station;text;Typologie affecté à la station (à une typologie correspond la mise en œuvre de prestataions selon l'onglet calendrier);obligatoire;Une vérification de cohérence entre les onglets calendrier et programme_annuel est réalisée. Le fichier est rejeté s'il n'y a pas de cohérence.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;type_station;text;Typologie affecté à la station (selon la même typologie que l'onglet programme annuel);obligatoire;Une vérification de cohérence entre les onglets calendrier et programme_annuel est réalisée. Le fichier est rejeté s'il n'y a pas de cohérence.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;programme;text;Programme type à réaliser;obligatoire;Les valeurs doivent toutes figurer parmi les valeurs de la colonne label_prestation de l'onglet BPU. Le fichier est rejeté s'il n'y a pas de cohérence.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;janvier;numeric;Nombre de prestations à réaliser sur le mois de janvier;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;février;numeric;Nombre de prestations à réaliser sur le mois de février;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;mars;numeric;Nombre de prestations à réaliser sur le mois de mars;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;avril;numeric;Nombre de prestations à réaliser sur le mois d'avril;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;mai;numeric;Nombre de prestations à réaliser sur le mois de mai;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;juin;numeric;Nombre de prestations à réaliser sur le mois de juin;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;juillet;numeric;Nombre de prestations à réaliser sur le mois de juillet;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;aout;numeric;Nombre de prestations à réaliser sur le mois d'août;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;septembre;numeric;Nombre de prestations à réaliser sur le mois de septembre;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;octobre;numeric;Nombre de prestations à réaliser sur le mois d'ocotbre;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;novembre;numeric;Nombre de prestations à réaliser sur le mois de novembre;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;décembre;numeric;Nombre de prestations à réaliser sur le mois de décembre;obligatoire;Numeric. Toute autre valeur est convertie en valeur nulle.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;préleveur;text;Prestataire en charge du prélèvement;obligatoire;nom conforme à celui du référentiel prestataire de libreSQE déclaré pour le marché
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;laboratoire;text;Laboratoire en charge des analyses;obligatoire;nom conforme à celui du référentiel prestataire de libreSQE déclaré pour le marché
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;calendrier;rattachement_bdc;text;Clé qui permet de rattacher des prestations à un même bon de commande (par exemple pour émettre un bon de commande pour tous les suivis temps de pluie, mettre la clé pluie dans cette colonne pour toutes les lignes concernées).;obligatoire;
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;programme;text;Programme type à réaliser;obligatoire;Les valeurs doivent toutes figurer parmi les valeurs de la colonne label_prestation de l'onglet BPU. Le fichier est rejeté s'il n'y a pas de cohérence.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;code_fraction_sandre;text;Code SANDRE de la fraction à analyser. ;obligatoire;Une vérification de cohérence entre le nom_fraction_sandre et le code_fraction_sandre est mise en œuvre. En cas d'incohérence une alerte est émise. Seul le code SANDRE est bancarisé.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;nom_fraction_sandre;text;Nom SANDRE de la fraction à analyser (seulement utilisé pour contrôler la validité du code SANDRE correspondant).;obligatoire;
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;code_parametre_sandre;text;Code SANDRE du paramètre à analyser. Si le paramètre est en attente de codification SANDRE, un nom arbitraire est à fixer (ex. param_temp_1). ;obligatoire;Une vérification de cohérence entre le nom_parametre_sandre et le code_parametre_sandre est mise en œuvre. En cas d'incohérence une alerte est émise. 
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;nom_parametre_sandre;text;Nom SANDRE du paramètre à analyser (utilisé pour contrôler la validité du code SANDRE correspondant et pour nommer un paramètre en attente de codification SANDRE).;obligatoire;
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;code_unite_sandre;text;Code SANDRE de l'unité du paramètre à analyser. ;obligatoire;Une vérification de cohérence entre le nom_unite_sandre et le code_unite_sandre est mise en œuvre. En cas d'incohérence une alerte est émise. Seul le code SANDRE est bancarisé.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;nom_unite_sandre;text;Nom SANDRE de l'unité du paramètre à analyser (seulement utilisé pour contrôler la validité du code SANDRE correspondant).;obligatoire;
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;analyse_in_situ;text;Définit si l'analyse est réaliser sur le terrain (Oui) ou au laboratoire (Non);obligatoire;Les valeurs acceptées sont oui ou non (sans contrainte de casse, la valeur étant automatiquement convertie en minuscule).
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;run_analytique;text;Nom du run analytique conforme à celui dans l'onglet cout_run_analytiques;obligatoire;Vérification de la cohérence avec la colonne run _analytique de l'onglet cout_run_analytiques
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;limite_detection_garantie;numeric;Limite de détection garantie par le laboratoire;facultatif;Les valeurs sont à exprimer dans l'unité définie par la colonne code_sandre_unite. Une valeur non numérique sera traitée comme une absence de valeur.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;limite_quantification_garantie;numeric;Limite de quantification garantie par le laboratoire;facultatif;Les valeurs sont à exprimer dans l'unité définie par la colonne code_sandre_unite. Une valeur non numérique sera traitée comme une absence de valeur.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;incertitude_garantie;numeric;Incertitude garantie par le laboratoire;facultatif;Les valeurs sont à exprimer dans l'unité définie par la colonne code_sandre_unite. Une valeur non numérique sera traitée comme une absence de valeur.
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;type_incertitude;text;Soit relative, soit absolue;obligatoire;Les valeurs acceptées sont relative ou absolue (sans contrainte de casse, la valeur étant automatiquement convertie en minuscule).
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;accreditation;text;Définit si l'analyse est rendue sous couvert d'accréditation (Oui) ou pas (Non);obligatoire;Les valeurs acceptées sont oui ou non (sans contrainte de casse, la valeur étant automatiquement convertie en minuscule).
chaque année, pour chaque marché, pour établir la programmation annuelle prévisionnelle;programmes_types;commentaires_parametre;text;Commentaires sur l'analyse du paramètre;facultatif;
à chaque marché;BPU;id_prestation;numeric;identifiant de la prestation (par convention débute à 1 et numérote chaque ligne du BPU);obligatoire;Vérification du format numeric et de la numérotation entre 1 et le nombre de lignes différentes figurant au BPU
à chaque marché et à chaque révision de prix;BPU;label_prestation;text;"nom court de la prestation. Parmi cette liste doivent figurer l'ensemble des valeurs ""programme"" reprises dans les onglets calendriers et programme type. Doublons interdits.";obligatoire;Vérification de l'absence de doublons.
à chaque marché et à chaque révision de prix;BPU;nom_complet_prestation;text;nom officiel de la prestation tel qu'il figure dans les bons de commande et les factures;obligatoire;Non null
à chaque marché et à chaque révision de prix;BPU;nature_prestation;text;descriptif complet du contenu de la prestation;facultatif;
à chaque marché et à chaque révision de prix;BPU;unite_facturation;text;décrit l'unité de base de facturation (par analyse, par réunion, par campagne, …);obligatoire;
à chaque marché et à chaque révision de prix;BPU;prix_unitaire_HT;numeric;prix unitaire de la prestation;obligatoire;Nombre positif avec au plus 2 décimales.
à chaque marché et à chaque révision de prix;BPU;date_debut_validite_prix;date;date de début de validité des prix;obligatoire;Format date
à chaque marché et à chaque révision de prix;BPU;date_fin_validite_prix;date;date de fin de validité des prix;obligatoire;Format date
à chaque marché et à chaque révision de prix;cout_run_analytiques;run_analytique;text;nom du run analytique. Doit être unique;obligatoire;vérification de l'unicité des valeurs
à chaque marché et à chaque révision de prix;cout_run_analytiques;code_methode_sandre;text;code SANDRE de la méthode d'analyse.;obligatoire;Vérification qu'il s'agit d'un code de méthode valide selon le SANDRE. Affichage pour information du libellé SANDRE correspondant au code méthode s'il diffère de celui du champs nom_methode
à chaque marché et à chaque révision de prix;cout_run_analytiques;nom_methode;text;nom de la méthode mise en œuvre pour l'analyse du run analytique;obligatoire;
à chaque marché et à chaque révision de prix;cout_run_analytiques;prix_unitaire_ht;numeric;prix unitaire du run analytique;obligatoire;
à chaque marché et à chaque révision de prix;cout_run_analytiques;date_debut_validite_prix;date;date de début de validité des prix;obligatoire;Format date
à chaque marché et à chaque révision de prix;cout_run_analytiques;date_fin_validite_prix;date;date de fin de validité des prix;obligatoire;Format date
